id;bank_id;name;description;icon_filename;mcc_additional_description;og_id
21;1;Продукты;Кэшбэк за покупки в продуктовых магазинах, супермаркетах и сервисах доставки - онлайн и офлайн;supermarket_kv.png;;
22;1;Такси;Кэшбэк за оплату поездок в такси и чаевые водителям;taxi_kv.png;4121, 3990 при оплате картой Платежной системы «МИР» в экосистеме потребительских сервисов Яндекс;179
23;1;Техника;Кэшбэк за покупки в магазинах электроники и оплату услуг ремонта, сборки, монтажа электронного оборудования;technic_kv.png;;180
24;1;Транспорт;Кэшбэк за покупку ж/д билетов, оплату проезда в метро, наземном городском транспорте и пригородных поездах;transport_kv.png;;181
25;1;Фастфуд;Кэшбэк за покупки в ресторанах быстрого питания;fastfood_kv.png;;182
26;1;Фастфуд, кафе, рестораны;Кэшбэк за покупки в ресторанах, кафе, барах и ресторанах быстрого питания (фастфуд);cafe_restor_kvadrat.png;"Фастфуд – 5814, 3990
Кафе и рестораны – 5811, 5812, 5813, 3990";
27;1;Цветы;Кэшбэк за покупки в цветочных магазинах, салонах флористики и магазинах для садоводов ;flowers_kv.png;;183
28;1;Цифровые товары;Кэшбэк за оплату подписок на онлайн-сервисы, кино и музыку ;digital_kv.png;;
29;1;Ювелирные изделия;Кэшбэк за покупки в ювелирных магазинах;jewelry_kv.png;;
30;1;Яндекс Еда;Покупки в приложении сервиса доставки Яндекс Еда;yandex-eda_logo.png;;
31;1;Яндекс Плюс;"Оплата подписки на сервисе Яндекс Плюс
";yandex_plus_logo.png;;
32;1;За все покупки;За любые покупки онлайн и офлайн вне категорий повышенного кэшбэка;procent_kv.png;;186
33;1;KASSIR.RU;Кэшбэк на покупки билетов на концерты, спектакли и другие мероприятия;Kassirru_360x360_kv.png;;
34;1;Яндекс Такси;;yandex_300x300.png;;
35;1;Маркетплейсы;Кэшбэк за покупки на Ozon, Wildberries и других площадках ;Marketplace_zvet.png;;
36;1;Сервис Заправки;Кэшбэк за оплату топлива только через сервис Заправки в мобильном приложении Альфа-Банка;azs_kv.png;;385
37;1;Деливери;Кэшбек за покупки в сервисе доставки еды. Максимально можно получить 300₽;;;
38;1;Сервис Маркет;Кэшбэк за оплату покупок только через сервис Маркет в мобильном приложении Альфа-Банка;;;
39;1;Сервис Афиша;Кэшбэк за покупки в партнерском сервисе в Альфа Мобайл для оплаты билетов на мероприятия;;;
40;1;Медицинские услуги;Кэшбэк за оплату услуг больниц, поликлиник, стоматологий, клиник лазерной коррекции зрения и других медицинских учреждений;;;
41;1;Товары для здоровья;Кэшбэк за покупки в салонах оптики и магазинах ортопедических товаров ;;;
42;1;Автозапчасти;Кэшбэк за покупку автозапчастей, шин и автоаксессуаров;;;588
43;1;Автоуслуги;Кэшбэк за оплату услуг автосервисов, шиномонтажей, малярных мастерских, эвакуаторов, а также за оплату проезда по платным дорогам и парковки;;;
44;1;Культура и искусство;Кэшбэк за покупки в музеях, кинотеатрах, на выставках, в магазинах звукозаписи и других местах культурного досуга и развлечений;;;577
45;1;Алкоголь;Кэшбэк за покупки в магазинах с продажей спиртных напитков навынос;;;
46;1;Хобби;Кэшбэк за покупки в магазинах товаров для хобби, рукоделия, фото- и видеотехники, в компьютерных клубах;;;
47;1;Активный отдых;Кэшбэк за покупки в спортивных клубах, парках аттракционов и других местах для отдыха и развлечений;;;622
48;1;Аксессуары;Кэшбэк за оплату услуг по чистке и ремонту аксессуаров, а также за покупку аксессуаров из кожи;;;
49;1;Детские товары;Кэшбэк за покупки в магазинах детской одежды и игрушек;;;
50;1;Здоровье;Кэшбэк за покупки в аптеках, профильных медицинских магазинах и медицинских учреждениях;;;
51;1;Мегафон;Кэшбэк за оплату покупок кредитной картой МегаФон 365 дней без % в салонах связи Мегафон;;;
52;1;Билайн;Кэшбэк за оплату покупок картой Кэшбэк 1–5–25 в салонах связи Билайн;;;
53;1;Покупка авто;Кэшбэк за покупку новых и подержанных автомобилей, мотоциклов, лодок, снегоходов и другого транспорта ;;;
54;1;Супермаркеты;Кэшбэк за покупки в онлайн и офлайн супермаркетах и маркетплейсах, а также в продуктовых магазинах;;;
55;1;Кэшбэк «Для своих»;Кэшбэк за покупки в различных компаниях для участников проекта «Свой в Альфе»;;;
56;1;ROSSKO;Кэшбэк за покупки в магазине ROSSKO. Действует онлайн и офлайн;;;
57;1;SuperStep;Кэшбэк за покупки в магазине SuperStep. Действует только онлайн;;;
58;1;Tasty Coffee;Кэшбэк за покупки в магазине Tasty Coffee. Действует только онлайн. Максимальный кэшбэк— 750 ₽;;;
59;1;Самбери;Кэшбэк за покупки в магазине «Самбери». Действует только офлайн. Максимальный кэшбэк— 1000 ₽;;;
60;1;U.S. Polo Assn;Кэшбэк за оплату покупок в магазине U.S. Polo Assn. Действует онлайн и офлайн. Максимальный кэшбэк— 5000 ₽;;;
61;1;Дикси доставка;Кэшбэк за покупки в сервисе доставки продуктов «Дикси Доставка». Действует только онлайн. Максимальный кэшбэк— 1000 ₽;;;
62;1;Chibbis;Кэшбэк за покупки в сервисе доставки еды Chibbis. Действует только онлайн;;;
63;1;Добрынинский;Кэшбэк за покупки в магазине «Добрынинский». Действует онлайн и офлайн. Максимальный кэшбэк— 1000 ₽;;;
64;1;100% скидка на Уведомления;Узнавайте о всех операциях по карте. 1-й месяц бесплатно, далее— 99 ₽ в месяц;;;
65;1;через Alfa Pay;Кэшбэк на бесконтактную оплату смартфоном через Alfa Pay;;;
66;1;по Альфа-Стикеру;Кэшбэк за оплату любых покупок платёжным стикером Альфа-Банка;;;
67;5;Стандартный кешбэк 1%;;;Кешбэк начисляется только если не применяются иные условия, установленные Программой лояльности (например, за исключением операций, предусмотренных Программой лояльности, при которых Кешбэк не начисляется и (или) не должен начисляться);
68;5;Образование;;;;
69;5;Авиабилеты;;;;
70;5;VIP-залы;;;;
71;5;Аренда автомобилей;;;;
72;5;Железнодорожные билеты;;;;
73;5;Круизы;;;;
74;5;Турагенства;;;;
75;5;Магазины беспошлинной торговли - Duty Free;;;;
76;5;Отели;;;;
77;5;Транспорт;;;;
78;5;Такси;;;;
79;5;Каршеринг;;;;
80;5;Автомобильные услуги;;;;
81;5;Топливо и автомобильные заправочные станции;;;;
82;5;Аптеки;;;;
83;5;Салоны красоты и SPA;;;;
84;5;Косметика и парфюмерия;;;;
85;5;Дом, ремонт;;;;
86;5;Зоотовары;;;;
87;5;Искусство;;;;
88;5;Книги;;;;
89;5;Кино;;;;
90;5;Развлечения;;;;
91;5;Всё для геймеров;;;;
92;5;Выставки и музеи;;;;
93;5;Фитнес;;;;
94;5;Медицинские услуги;;;;
95;5;Медицинские клиники и эстетическая медицина;;;;
96;5;Стоматология;;;;
97;5;Музыка;;;;
98;5;Супермаркеты;;;;
99;5;Магазины;;;;
100;5;Электроника и бытовая техника;;;;
101;5;Рестораны;;;;
102;5;Фастфуд;;;;
103;5;Связь и Интернет;;;;
104;5;Химчистки;;;;
105;5;Фото/Видео;;;;
106;5;Сувениры;;;;
107;5;Цветы;;;;
108;5;Спорттовары;;;;
109;5;Одежда, обувь;;;;
110;5;Ветеринарные клиники;;;;
111;5;ЖКХ;;;;
